address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"No. 8 Kumaranasan Nagar, Kadavanthra, Kochi",Ernakulam,Laundry Service Available|Parking Facilities Available|Power Backup|Internet Access Free|Parking Facility,Ernakulam Junction|Bolgatty Palace|Ernakulam,Athithi Homes,Homestay,Non A/C Room,5
"S.N Junction, Punnamada, Alappuzha",Alleppey,Power Backup|Fire Safety,Finishing Point Road|Alleppey Railway Station|Champakulam Church|Alleppey Beach,Bens Houseboats 4 Bed Room A/c DLX (2),Houseboat,4 Bed Room A/c DLX 8 PAX,4
"Small Vagator Beach, Vagator Bardez Goa",Goa,"Swimming Pool|Airport Transfer Available / Surcharge|Bar / Lounge |Currency Exchange|Doctor on Call|Laundry Service Available|Night Club|Non Smoking Rooms|Front Desk|Locker Facility|Major Credit Cards Accepted|Welcome Drinks|Power Backup|Gardens|Wake-up Call / Service|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Smoking Area |Veranda|Open Air Restaurant / Dining | Bike on Rent|Car Rental|Taxi Services|Newspapers In Lobby|Baggage Room|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Fire Safety",Anjuna Area|Anjuna Beach|Morjim Beach|Anjuna Beach Bus Stop|North Goa|Vagator Beach,Antares Beach Resort,Resort,Ocean Classic,3.9
"MI Road, Opp Om Towers, next to ICICI Bank ATM",Jaipur,Doctor on Call|Dry Cleaning|Games Zone|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Audio - Visual Equipment|Wake-up Call / Service|Coffee Shop / Cafe|Smoking Rooms|Veranda| Bike on Rent|Car Rental|Express Laundry|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Recreation Zone,Johari Bazar|Jantar Mantar|M I Road|City Palace|Metropolitan Mall|Jaipur Railway Station,Backpacker Panda Jaipur,Hostel,AC Private Ensuite,4.4
"A-23, Sector 51, Near Community Center, Noida",Noida,Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Suitable For Children|Car Rental|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days|Security at All Hotel Entrances,Sector 51|Woven Gold|Worlds of Wonder,Avasa Hotel,Hotel,Standard Room,1.3
"Village Bhimlat,Dist.Balaghat",Kanha,,Mukki Village,Bagh Tola Kanha,Resort,Deluxe A.C,3.8
"Chithirapuram P.O Thattathimukku, Anachal, Munnar  Munnar, Chithirapuram, Munnar 685565, India",Munnar,Doctor on Call|Lobby|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Room Service (24 Hours)|First-Aid Kit at Front Desk,Spices Market|Chithirapuram,ANNAS HOMESTAY,Homestay,STANDARD ROOM,4
"near hanuman temple,old foot bridge",Alleppey,Doctor on Call,Champakulam Church|Alleppey Railway Station|Others|Alleppey Beach,Antonys Eco Houseboat,Houseboat,Single bedroom,4
"Udaipur Jhadol Road,  Near Nai Gaon, Udaipur",Udaipur,Swimming Pool|Bar / Lounge |Doctor on Call|Laundry Service Available|Lobby|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Gardens|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,Lake Pichola Area,Araliayas Resort,Resort,Executive Garden Room,4.2
"139/C1, Next to G R Tech Park, Pattandur  Agrahara ITPL Main Road, Whitefield,   Bangalore-66",Bangalore,Doctor on Call|Laundry Service Available|Lobby|Front Desk|Parking Facility,Ub City Mall|Garuda Mall|Sree Kanteerava Stadium|Chinnaswamy Cricket Stadium|Jawaharlal Nehru Planetarium|Whitefield|Attara Kacheri,Bhagini Residency,Hotel,Twin Bed Deluxe,4
"Opp. Brijkishore Homeopathic College,Near Allahabad Bank,Devkali Road,Faizabad",Faizabad,Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Power Backup|Karaoke |Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Suites,Cathedral Church of The Redemption|Parliament House|Devkali Road|Talkatora Stadium|Gurudwara Rakabganj Sahib|Vigyan Bhawan,AP House,Hotel,Standard Room,2.7
"Nandi Hills, hegedahalli village Banglore",Bangalore,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Others,Aura Foothills,Homestay,Non A/c Room,2.8
"Ayur County Mountain Resorts, Chinnakanal P.O, Munnar",Munnar,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Conference Facility |Free Local Calls|Picnic Area|Nature Walk|Express Laundry|Taxi Services|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Party hall|Parking Facility,Chinnakanal,Ayur County,Resort,Valley Room (Deluxe),3.7
"Anjuna German Bakery Road , next to German bakery and curlies shack,Anjuna, Goa",Goa,Swimming Pool|Parking Facilities Available|Power Backup|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Suites,"Anjuna Area|Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|North Goa|Vagator Beach",Bay Luxe,Hotel,Deluxe,4
"689/27 Opposite chand health club,model town",Rohtak,Doctor on Call|Parking Facilities Available|Power Backup|Parking Facility,Sector-14,Basera Guest House,Guest House,Deluxe Room,3.5
"Mandarmani, East Medinipur",Mandarmani,Doctor on Call,Purba Medinipur,Arya Beach Resort Mandarmani,Resort,AC Double Bed Room,3.5
"Awas Rd., Near Awas Beach, Alibaug, Maharasthra 402201",Raigad,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|24 Hour Front Desk|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Public Restrooms,Awas,Antiguo Alibaug,Bungalow,Exquisite 6BHK Bungalow,3.5
"N.H.Road, Central Munnar",Munnar,Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Multi Lingual Staff|Conference Facility |Express Laundry|Food Facility|Newspapers In Lobby|Baggage Room|Parking Facility,Echo Point|Roman Catholic Church|Sita Devi Lake|Mattupetty dairy farm|Anamudi Peak|Mattupetty Lake and Dam|Power House Waterfall|Main Town|Spices Market,Bellmount Resorts,Resort,Deluxe Room,4.2
"Bagmane Estate, Mallandor P.O 15",Chikmagalur,Doctor on Call|Gardens|Nature Walk|Veranda|Transfers Available|Village Visit ( Chargeable )|Taxi Services|Newspapers In Lobby|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility,Mallandur,Bean Stalk Bagmane Homestay,Homestay,Home stay Deluxe Room,0
"4D, 4th /Floor, 12B Russel Street",Kolkata,Laundry Service Available|Front Desk|Luggage Storage|Power Backup|Wake-up Call / Service|Parking Facility|Internet Access|Room Service,,"Banayan Appartment ,Russell Street",Service Apartment,Deluxe Room,2.9
"Baragarh Villa Baragarh Estate, Village Gurdorh, PO Larenkelo Distt. Kullu Himachal Pradesh",Manali,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens|Smoking Area |Transfers Available|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service,"Chandrakhani Pass|Aleo, Left Bank|Manali 1st Super Market|Vashist Hot Water Springs and Temples",Baragarh Villa,Resort,Royal Suite,2.9
"VILL DAWADA, NH 21 MANALI  175131",Manali,Parking Facilities Available|Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Parking Facility|Room Service,Others|Arjun Gufa|Naggar|Naggar Village,BAZIRA COTTAGES,Hotel,DELUXE ROOM,2.9
"near helipad,cliff beach,varkala",Varkala,Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Welcome Drinks|Gardens|Boating|Nature Walk| Bike on Rent|Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Spa Services Nearby|Outdoor Parking - Secured|Parking Facility,Kurakkanni Cliff,Ayushi Ayurvedi Retreat,Guest House,Budget Room,2.9
palath house po nattika beach Thrissur kerala 680566,Thrissur,Doctor on Call|Parking Facilities Available|Front Desk|Medical Assistance Available|Public Restrooms,Nattika Beach,AVANTHIKA HOMESTAY,Homestay,STANDARD ROOM,2.9
"Anna Salai, Near. Bus Stand",Kodaikanal,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Power Backup|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Newspapers In Lobby|Guide / Sightseeing Service|Outdoor Parking - Secured|Restaurant|Room Service|CCTV|Porter Services Available|Security at All Hotel Entrances,Attuvampatti|St Peters Church|St Marys Church,ASTORIA VEG,Hotel,Double Bed Room,2.9
"Kolamb village, Malvan",Malwan,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Parking Facility|Room Service,Kolamb Village,Arvind Niwas,Homestay,standard room,2.9
"No.4, E-Road, (Near Omni Bus Stand) Koyambedu",Chennai,Air-Conditioning - Central|Internet Access Free|Room Service (24 Hours),Chennai International Airport|Koyambedu Private Bus Terminus|AVM Film Studio|Ambattur Estate MTC Bus Depot|Koyambedu|Bus Stop - Koyambedu|Kodambakkam Market|The Forum Vijaya Mall|Wavin Bus Stop,Balaji Residency,Hotel,Deluxe,3.4
"Near Nehru Enclave , Bari Jugallie Gomti Nagar,",Lucknow,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Outdoor Parking - Secured|Parking Facility|Room Service,"Divine Heart Hospital|Sahara Hospital|Badshahnagar Railway Station|Bhim Rao Ambedkar Stadium|Shahid Path|Gomti Nagar,|Local-Malhaur|Dr Ram Manhor Lohiya Hospital",Aryan Hotel,Hotel,Deluxe,2.7
"S.N Junction, Punnamada, Alappuzha",Alleppey,Power Backup|Fire Safety,Finishing Point Road|Alleppey Railway Station|Champakulam Church|Alleppey Beach,Bens Houseboats 2 Bed Room A/c DLX (2),Houseboat,2 Bed Room A/c DLX,3.9
"31/1, South Tukoganj  Indore",Indore,Swimming Pool|Bar / Lounge |Business Center |Currency Exchange|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Conference Facility |Fax Machine|Board Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,Bada Ganpati Temple|Indore Museum|Nehru Stadium|Sukh Niwas Palace|Tukoganj|Krishnapura Chhatris Tomb|Rajwada Palace,Best Western Plus O2,Hotel,Standard Room,4.5
"77, Jawaharlal Nehru Road, 100, Feet Road, Vadapalani, Chennai - 600 026",Chennai,Doctor on Call|Laundry Service Available|Multi Cuisine Restaurant |Air-Conditioning - Central|Coffee Shop / Cafe|Open Air Restaurant / Dining |Room Service (24 Hours),Chennai International Airport|AVM Film Studio|Koyambedu Private Bus Terminus|Royal Thai Consulate - General|Republic Of Indonesia|Vadapalani|Iceland Embassy|e-con Systems India Private Limited|Bus Stop - Koyambedu|Kodambakkam Market|The Forum Vijaya Mall|Consulate Of Singapore|T Nagar Bus Terminus,Aspni Inn,Hotel,Executive,3.3
"Ranthambore Road, Sawai Madhopur,",Sawai Madhopur,Swimming Pool|Bar / Lounge |Business Center |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Gardens|Transfers Available|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available|Public Restrooms|Speciality Restaurant |Suites,Rameshwaram Dham|Ranthambhor Ganesh Temple|Ranthambhore|Chamatkar Temple,"Anuraga Palace, Treehouse Palace Hotel",Hotel,Deluxe room,4.5
"ASHTAMI RESORT,Meenangadi MEPPRIKUNU",Wayanad,Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Room Service (24 Hours),Kalpetta,ASHTAMI RESORT,Resort,Cottage Room,4
"Plot no. 30, Vijayanagaram Colony, Bhelupur, Varanasi, 221010",Varanasi,Doctor on Call|Front Desk,Bharat Mata Temple|Tulsi Ghat|Bhelupur|Jantar Mantar,Azure Guest House,Guest House,Single room with shared bathroom,3.9
"10/4B, Metha Layout ,Masakalipalayam road,Peelamedu, Hopes",Coimbatore,Doctor on Call|Local Tour / Travel Desk|Doorman|Power Backup|Porter / Bellhop|Transfers Available|Extra Person / Child - Share the same room|Family Room|Outdoor Parking - Secured|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,Avinashi Road|Coimbatore International Airport|Town Bus Stand|Brookefields Mall|Central Cinema,Arul Nakshatra Service Apartment,Service Apartment,SINGLE BEDROOM,3.9
"No 48/1114, E V R Periyar High Road, Park Town, Chennai - 600003, Periamet",Chennai,Doctor on Call|Power Backup|Wake-up Call / Service|Nature Walk|Veranda|Parking Facility|Room Service,Chennai Egmore Station|Government Museum|Others|Nehru Stadium|Fort St George,BAVA LODGE,Lodge,Standard Room Ac,3.9
"Plot no. 15, 24, 25 and 26, Survey no. 64, Sector-1, Huda Techno enclave, Madhapur, Hyderabad - 500081",Hyderabad,Swimming Pool|Banquet Facilities|Bar / Lounge |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|Conference Facility |Spa Services Nearby,Secunderabad Railway Station|Charminar|Bus Stand|Nampally Railway station|Golkonda Fort|Shopping Centre|Ragiv Gandhi International|Metro Railway Station|Movie Theatres|Tech park|Shilparamam|Hi-Tech City|Durgam Cheruvu|Cyber Tower|Inorbit Mall,Avasa Hotel,Hotel,Avasa Silver,4.5
"B- 201 and 301 ,  Jeevan Vijay CHS, Dr Charat Singh Colony, Behind Dragon Fly Hotel, Near Jyoti Dwelling, Chakala, Andheri",Mumbai,Laundry Service Available|Parking Facilities Available|Front Desk,Chhatrapati Shivaji International Airport|Andheri,"Arista Service Apartments,Andheri",Service Apartment,Deluxe Room,3.9
"D-160,Kabir Marg,Bani Park,Near Collectreat Circle",Jaipur,Business Center |Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Car Rental|Guide / Sightseeing Service,City Palace|Jantar Mantar|Triton Mall|Bani Park|Jaipur Railway Station,Chit Chat Palace,Hotel,Deluxe Room,3.9
Calangute Candolim Beach Road Goa 403516 Near Plaintain Leaf Restaurant,Goa,Swimming Pool|Bar / Lounge |Internet Access - Surcharge|Parking Facilities Available|Multi Cuisine Restaurant |Gardens|Outdoor Parking - Secured|Parking Facility|Room Service,"Candolim Bus Stop|Sinquerim Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",Calangute Alcove Luxury Apartment,Service Apartment,1 BEDROOM WITH HALL,3.5
"515 E, New Shahupuri, Station road",Kolhapur,Laundry Service Available|Parking Facilities Available|Front Desk|Parking Facility|Room Service,New Shahupuri|Major Dhyanchand Hockey Stadium|New Palace|Chhatrapati Shahu Stadium,Chalukya Deluxe,Lodge,deluxe non ac,3.9
"Small vagator,orzan road,opp foot ball ground,bardez,goa",Goa,Laundry Service Available|Locker Facility|Gardens|Internet Access Free|Parking Facility|Room Service|Public Restrooms,Vagator Area|Anjuna Beach|Morjim Beach|North Goa|Anjuna Beach Bus Stop|Vagator Beach,Brisa Do Mar,Hotel,Deluxe Room,4.8
"C-68, Block-C, South City, Part-I, Near Huda City Metro Station, Sector 41, Gurgaon",Gurgaon,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Exhibit Space|Wake-up Call / Service|Smoking Rooms|Car Rental|Express Laundry|Taxi Services|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Air / Rail Booking|STD / ISD|Baggage Room|Courier Service|Parking Facility,Sector 41|Huda Gymkhana Club|Star Mall|Amity International School,Blooms 1,Guest House,Deluxe Room,3.8
"Bokhim Village Resort,Aritar lake ,East Sikkim",Aritar,Doctor on Call,Bokhim Village,Bokhim Village Resort,Resort,ATTIC ROOM,2.3
"Malmaddi Station Road, Court Circle, Opposite horticulture office, Dharwad Ho, Dharwad - 580001",Dharwad,,"Railway Station Road, Opposite Horticulture Office",Brindavan Lodge,Lodge,Standard Room,2.3
"No.65-66,1st floor, Sadguru complex,Opp.IIMB,Bilekahalli,Bannerghatta Main Road",Bangalore,Airport Transfer Available / Surcharge|Beauty Salon - on charge|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Power Backup|Express Check-In / Check-Out|Translation Services|Wake-up Call / Service|Separate Sitting Area|Access Via Exterior Corridors|ATM / Banking|Fax Machine|Transfers Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Taxi Services|City Shuttle Service| Drivers Rest Room|Internet Access Free|Postal / Parcel Services|Room Service (24 Hours)|Voicemail|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|Courtesy Coach|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Porter Services Available|Public Restrooms,Apollo Hospitals|Sagar Hospitals|Sree Tirumalagiri Lakshmi Venkateshwara Devasthanam|Rajiv Gandhi University of Health Sciences|Jayanagar Bus Stop|B B M P Office|Sri Jayadeva Institute of Cardiovascular Sciences and Research|HSBC Bus Stop|Bangalore Water Supply &amp; Sewerage Board|Fortis Hospital|Silk Board|Royal Meenakshi Mall|Indian Institute of Astrophysics|Bannerghatta Road|Celebrity Housing|Coupon Mall|Madiwala Bus Stop|Bangalore Water Supply & Sewerage Board,Brahma Inn Executive Rooms,Lodge,Standard Non AC Room,4.3
